Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P02070;sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P02100|HBE_HUMAN;sp|P68871|HBB_HUMAN;sp|P02042|HBD_HUMAN	CON__P02070;sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P02100|HBE_HUMAN	4;2;2;2;1;1	4;2;2;2;1;1	3;1;1;1;0;0	;sp|P69892|HBG2_HUMAN Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2;sp|P69891|HBG1_HUMAN Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=2;sp|P02100|HBE_HUMAN Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=H	6	4	4	3	34.5	34.5	27.6	15.954	145	145;147;147;147;147;147	0	30.334	118100	110050	92382	142010	74496	33181	34412	145930	76680	118470	139920	81289	96063	101590	37804	108690	102940	95383	140510	77510	42921	37905	142240	78013	120530	138220	84883	96577	96720	37188	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	117660000	6			+	10	1663;2324;4657;4880	True;True;True;True	1719;2406;4815;5046	2815;3878;3879;7592;7937;7938	3660;5023;5024;10142;10577;10578	3660;5023;10142;10577		
CON__P02533;sp|P02533|K1C14_HUMAN;CON__Q6IFX2	CON__P02533;sp|P02533|K1C14_HUMAN;CON__Q6IFX2	34;34;17	30;30;16	10;10;4	;sp|P02533|K1C14_HUMAN Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4;	3	34	30	10	55.5	50.2	24.2	51.621	472	472;472;452	0	323.31	1122700	1965900	1416500	3628200	1038600	213660	233530	1065100	1076600	1114000	719920	851390	892030	1205300	409690	1037000	1849400	1404000	3511300	1083000	440320	300840	1049700	1046500	1126200	751850	891020	881300	1145500	400290	58	58	58	58	58	57	57	58	58	58	58	58	58	58	58	7819900000	58			+	11	466;626;769;770;974;1420;1451;2183;2978;3593;3615;3712;4146;4314;4400;4402;4525;4526;5492;5621;5821;6070;6321;6322;6657;6806;6807;7574;7758;7828;7914;7915;8414;8703	True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False	477;645;790;791;1003;1465;1498;2262;3079;3080;3710;3732;3835;4288;4459;4546;4548;4678;4679;5703;5845;5846;6061;6323;6324;6584;6585;6929;7081;7082;7876;8069;8144;8145;8233;8234;8752;9053;9054	721;722;1005;1006;1007;1228;1229;1230;1557;1558;2357;2358;2407;3662;3663;3664;4882;4883;4884;4885;5912;5943;5944;6111;6822;7058;7059;7060;7187;7188;7190;7191;7389;7390;8985;9204;9205;9572;10047;10048;10049;10464;10465;10941;11169;11170;12386;12387;12720;12831;12832;12833;12974;12975;13767;14267;14268;14269;14270;14271;14272;14273	922;923;1316;1317;1318;1608;1609;1610;2043;2044;2045;2046;2047;3081;3082;3083;3141;4773;4774;4775;6291;6292;6293;6294;7788;7828;7829;7830;8073;9100;9424;9425;9426;9427;9583;9584;9585;9586;9588;9589;9853;9854;11935;12205;12206;12207;12715;13343;13344;13345;13346;13347;13897;13898;14494;14495;14770;14771;16280;16281;16683;16822;16823;16824;17005;17006;18073;18074;18777;18778;18779;18780;18781;18782;18783	923;1316;1608;1610;2044;3083;3141;4774;6294;7788;7830;8073;9100;9425;9584;9589;9853;9854;11935;12206;12715;13345;13897;13898;14494;14770;14771;16280;16683;16822;17005;17006;18074;18782	2;3;4;5;6;7	14;119;257;272;338;351
CON__P02535-1	CON__P02535-1	10	1	1		1	10	1	1	15.1	1.6	1.6	57.769	570	570	0.0034014	6.2498	15127	90549	12571	15448	18199	5617.2	4206.9	28816	8415.5	14587	20267	11135	14826	12450	6424.7	13928	83314	12997	21096	18061	7020	5097.9	27703	8768.9	15331	19938	11519	14888	11874	6293.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23716000	1			+	12	473;3541;4314;4517;5819;6341;6356;6357;6809;8703	False;False;False;False;True;False;False;False;False;False	486;3658;4459;4670;6059;6604;6619;6620;7084;9053;9054	741;742;5842;7058;7059;7060;7377;7378;9569;10494;10495;10496;10497;10516;10517;10518;11172;11173;14267;14268;14269;14270;14271;14272;14273	949;950;951;7703;7704;9424;9425;9426;9427;9841;9842;12709;13935;13936;13937;13938;13962;13963;13964;13965;14773;14774;14775;18777;18778;18779;18780;18781;18782;18783	951;7703;9425;9841;12709;13935;13962;13965;14773;18782	7	148
sp|P02538|K2C6A_HUMAN;CON__P02538;sp|O95678|K2C75_HUMAN;CON__O95678	sp|P02538|K2C6A_HUMAN;CON__P02538	31;31;11;11	14;14;3;3	2;2;0;0	sp|P02538|K2C6A_HUMAN Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3;	4	31	14	2	43.3	22	3.5	60.044	564	564;564;551;551	0	125.17	496280	543950	1297000	1034000	502010	81781	50382	578030	307700	479730	212460	265170	373200	408910	92801	463020	512240	1236100	1000200	566960	146810	84300	561850	300190	484980	224570	283250	362170	388260	93551	22	22	22	22	22	21	22	22	22	22	22	22	22	22	22	1761300000	25			+	13	160;171;386;717;1384;2257;2285;2286;2384;2900;2981;4362;4363;5666;5681;5682;5691;5881;6043;6161;6245;6246;6870;7084;7230;7475;7476;8844;8900;8907;9108	True;True;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;True;True;True;True;False;False;True;True	162;174;395;739;1425;1426;2338;2339;2367;2368;2468;2999;3083;4507;4508;5893;5908;5909;5919;6125;6296;6417;6505;6506;7148;7371;7529;7775;7776;9199;9255;9262;9472	255;271;586;587;1159;1160;2290;2291;2292;3775;3776;3777;3778;3815;3816;3817;3982;3983;4767;4889;7130;7131;7132;9306;9307;9331;9332;9333;9334;9335;9350;9351;9695;10005;10201;10341;10342;11281;11651;11652;11653;11654;11878;12239;12240;14476;14556;14557;14558;14566;14567;14915;14916	323;342;724;725;1519;1520;2999;3000;3001;4890;4891;4892;4893;4894;4895;4896;4936;4937;4938;4939;4940;4941;4942;4943;4944;5164;5165;5166;6140;6299;6300;9516;9517;9518;12376;12377;12378;12415;12416;12417;12418;12419;12435;12436;12437;12872;13294;13558;13559;13753;13754;13755;14908;15388;15389;15390;15391;15392;15393;15394;15677;16103;16104;19041;19042;19124;19125;19126;19127;19137;19138;19620;19621	323;342;725;1520;2999;4891;4938;4944;5164;6140;6299;9516;9518;12378;12415;12419;12437;12872;13294;13558;13753;13755;14908;15389;15677;16103;16104;19042;19126;19137;19621	8;9	279;452
CON__P02662	CON__P02662	8	8	8		1	8	8	8	39.7	39.7	39.7	22.975	199	199	0	93.211	227950	285450	279590	490320	546050	888410	108720	790750	1122300	274360	273490	2115700	336390	199000	260440	210530	273990	281880	496060	534000	864900	158370	795860	1063900	373480	315430	2013000	337700	222690	250550	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	3997400000	14			+	14	1591;1826;2014;2331;3208;3250;3256;9010	True;True;True;True;True;True;True;True	1646;1890;2091;2414;3315;3359;3365;9367	2722;2723;3047;3404;3405;3891;3892;5264;5320;5327;5328;14722;14723	3554;3555;3991;4451;4452;5042;5043;6806;6807;6881;6888;6889;19329;19330	3554;3991;4452;5043;6806;6881;6889;19329	10	135
CON__P02663	CON__P02663	8	8	8		1	8	8	8	34.8	34.8	34.8	24.348	207	207	0	51.135	118720	144330	135340	251750	263030	275480	38406	333110	438360	142300	115370	1037000	194980	102750	107100	109570	137380	137080	250360	256950	276530	60836	331270	416440	188010	133150	987120	192230	114040	103980	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	840040000	10			+	15	517;563;2279;3793;5175;5554;5737;8083	True;True;True;True;True;True;True;True	533;580;2361;3918;5351;5775;5968;8409	837;916;3808;6225;8439;9100;9101;9432;13255	1087;1209;4928;8212;11237;12079;12080;12547;17355;17356	1087;1209;4928;8212;11237;12079;12547;17355		
CON__P02666	CON__P02666	4	4	4		1	4	4	4	20.1	20.1	20.1	23.583	209	209	0	33.825	134220	169800	140170	198080	282420	174140	35382	263770	309560	162460	135910	673430	140990	138010	73788	123790	159410	143010	200140	275340	178700	55851	261640	295950	189960	145510	646340	140500	140960	71767	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	1026000000	11			+	16	1245;3211;8377;8475	True;True;True;True	1282;1283;3318;3319;8712;8815	2086;2087;2088;5267;5268;13703;13891;13892	2746;2747;2748;2749;6811;6812;17979;17980;18276;18277;18278	2746;6812;17980;18278	11;12	109;185
CON__P02668	CON__P02668	3	3	3		1	3	3	3	23.7	23.7	23.7	18.974	169	169	0	28.264	76299	89931	74986	98779	147550	96379	18255	143330	81127	82945	84299	297470	85045	68841	66386	70337	84383	76833	100420	143960	98175	26942	141990	79914	95524	85672	286210	85772	69657	63858	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	173870000	3			+	17	7146;8980;9064	True;True;True	7442;9337;9428	11771;14675;14843	15550;19272;19530	15550;19272;19530		
CON__P02754	CON__P02754	7	7	7		1	7	7	7	51.2	51.2	51.2	18.281	162	162	0	111.42	173640	218110	204010	216060	444370	227430	52471	388680	163180	227610	160360	1199200	211200	188780	243010	160310	204320	206760	221650	431720	231970	76674	383670	162060	276850	165250	1146500	215040	197520	232040	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	799400000	13			+	18	523;3366;4709;7867;7868;8119;8788	True;True;True;True;True;True;True	539;3480;4868;4869;8184;8185;8445;9142	855;5554;5555;7668;7669;7670;12892;12893;12894;12895;13303;14386	1137;7295;7296;10232;10233;10234;16900;16901;16902;16903;16904;17427;18920	1137;7296;10234;16900;16903;17427;18920	13	7
CON__P02769;sp|P02768|ALBU_HUMAN;CON__P02768-1	CON__P02769	11;1;1	11;1;1	11;1;1		3	11	11	11	19.4	19.4	19.4	69.293	607	607;609;609	0	80.451	421590	433240	434360	514970	375230	135350	157250	507110	359320	442920	475670	520360	370210	385920	151480	388740	404720	437770	512360	387260	168950	175230	496710	360060	457560	475350	521710	370480	371010	148740	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	960180000	15			+	19	194;818;2370;3231;4212;4279;4597;5260;5291;6510;8057	True;True;True;True;True;True;True;True;True;True;True	198;841;2454;3339;4355;4423;4754;5440;5472;6780;8382	312;1305;3960;5296;5297;6921;7012;7505;8597;8640;10758;10759;13216	387;1713;5130;5131;6853;6854;9238;9239;9369;10035;11448;11497;14270;14271;17312	387;1713;5131;6853;9239;9369;10035;11448;11497;14271;17312		
CON__P04259	CON__P04259	30	1	0		1	30	1	0	41.5	3	0	59.998	564	564	0.001046	9.1141	15726	18567	58719	46757	25871	5291.3	2102.6	24015	8992.7	37205	12334	9762.7	26259	16051	4340.1	14794	17641	55447	44821	28578	8313.5	3696.1	24060	9170.7	36207	12801	11074	25292	15235	4523.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	104080000	1			+	20	160;171;717;830;1384;2257;2285;2286;2384;2981;4362;4363;5666;5681;5682;5691;5881;6043;6161;6245;6246;6869;7084;7230;7475;7476;8844;8900;8907;9108	False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	162;174;739;852;1425;1426;2338;2339;2367;2368;2468;3083;4507;4508;5893;5908;5909;5919;6125;6296;6417;6505;6506;7147;7371;7529;7775;7776;9199;9255;9262;9472	255;271;1159;1160;1321;2290;2291;2292;3775;3776;3777;3778;3815;3816;3817;3982;3983;4889;7130;7131;7132;9306;9307;9331;9332;9333;9334;9335;9350;9351;9695;10005;10201;10341;10342;11280;11651;11652;11653;11654;11878;12239;12240;14476;14556;14557;14558;14566;14567;14915;14916	323;342;1519;1520;1733;2999;3000;3001;4890;4891;4892;4893;4894;4895;4896;4936;4937;4938;4939;4940;4941;4942;4943;4944;5164;5165;5166;6299;6300;9516;9517;9518;12376;12377;12378;12415;12416;12417;12418;12419;12435;12436;12437;12872;13294;13558;13559;13753;13754;13755;14907;15388;15389;15390;15391;15392;15393;15394;15677;16103;16104;19041;19042;19124;19125;19126;19127;19137;19138;19620;19621	323;342;1520;1733;2999;4891;4938;4944;5164;6299;9516;9518;12378;12415;12419;12437;12872;13294;13558;13753;13755;14907;15389;15677;16103;16104;19042;19126;19137;19621	8;9	279;452
